course,type/info,day+time,location,enrollment,Instructor
BIOL&nbsp; 103 - 041&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Mo 16:00 - 17:30,BIOSCI RM2320,19,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 042&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Mo 16:00 - 17:30,BIOSCI RM2325,19,"Moyes,Christopher D,<br>
Choudhury,Baharul"

COMM&nbsp; 104 - 001&nbsp;&nbsp; Business Ethics and Corporate Social Responsibility,Queen's University | 2022 Winter | Lecture,We 10:00 - 11:30,GOODES RM151,86,"Friesen,Constance"

COMM&nbsp; 104 - 002&nbsp;&nbsp; Business Ethics and Corporate Social Responsibility,Queen's University | 2022 Winter | Lecture,We 13:00 - 14:30,GOODES RM141,87,"Friesen,Constance"

COMM&nbsp; 104 - 003&nbsp;&nbsp; Business Ethics and Corporate Social Responsibility,Queen's University | 2022 Winter | Lecture,We 16:00 - 17:30,GOODES RM151,87,"Friesen,Constance"

COMM&nbsp; 104 - 004&nbsp;&nbsp; Business Ethics and Corporate Social Responsibility,Queen's University | 2022 Winter | Lecture,Tu 18:30 - 21:30,GOODES RM151,88,"Humphreys Blake,Karen"

COMM&nbsp; 104 - 005&nbsp;&nbsp; Business Ethics and Corporate Social Responsibility,Queen's University | 2022 Winter | Lecture,Th 18:30 - 21:30,GOODES RM141,87,"Humphreys Blake,Karen"

COMM&nbsp; 104 - 006&nbsp;&nbsp; Business Ethics and Corporate Social Responsibility,Queen's University | 2022 Winter | Lecture,Mo 08:30 - 10:00,GOODES RM151,76,"Osanic,Philip"

COMM&nbsp; 104 - 007&nbsp;&nbsp; Business Ethics and Corporate Social Responsibility,Queen's University | 2022 Winter | Lecture,Mo 14:30 - 16:00,GOODES RM151,79,"Osanic,Philip"

GEOL&nbsp; 104 - 001&nbsp;&nbsp; The Dynamic Earth,Queen's University | 2022 Winter | Lecture,Mo 13:30 - 14:30,CONVOCATION HALL,157,"Layton-Matthews,Daniel"

GEOL&nbsp; 104 - 002&nbsp;&nbsp; The Dynamic Earth,Queen's University | 2022 Winter | Laboratory,Mo 10:30 - 12:30,MILLER RM102,25,"Layton-Matthews,Daniel"

GEOL&nbsp; 104 - 003&nbsp;&nbsp; The Dynamic Earth,Queen's University | 2022 Winter | Laboratory,Fr 15:30 - 17:30,MILLER RM106,26,"Layton-Matthews,Daniel"

GEOL&nbsp; 104 - 004&nbsp;&nbsp; The Dynamic Earth,Queen's University | 2022 Winter | Laboratory,Fr 08:30 - 10:30,MILLER RM102,27,"Layton-Matthews,Daniel"

GEOL&nbsp; 104 - 005&nbsp;&nbsp; The Dynamic Earth,Queen's University | 2022 Winter | Laboratory,Th 14:30 - 16:30,MILLER RM106,26,"Layton-Matthews,Daniel"

GEOL&nbsp; 104 - 006&nbsp;&nbsp; The Dynamic Earth,Queen's University | 2022 Winter | Laboratory,We 14:30 - 16:30,MILLER RM102,27,"Layton-Matthews,Daniel"

GEOL&nbsp; 104 - 007&nbsp;&nbsp; The Dynamic Earth,Queen's University | 2022 Winter | Laboratory,Tu 14:30 - 16:30,MILLER RM106,26,"Layton-Matthews,Daniel"

MUSC&nbsp; 104 - 001&nbsp;&nbsp; Music Fundamentals,Queen's University | 2022 Winter | Lecture,Mo 18:30 - 21:30,CONVOCATION HALL,175,"Freeman,Graham"

PORT&nbsp; 104 - 001&nbsp;&nbsp; Beginning Portuguese and Culture ll,Queen's University | 2022 Winter | Lecture,Mo 08:30 - 10:00,KINGSTON RM108,8,"Macedo,Antonio"

COMM&nbsp; 105 - 700&nbsp;&nbsp; Business Communications,Queen's University | 2022 Winter | Lecture,TBA,TBA,17,"Bartlett,Valerie"

HIST&nbsp; 105 - 001&nbsp;&nbsp; Post-Confederation Canada: A History of the Present,Queen's University | 2022 Winter | Lecture,Tu 14:30 - 16:00,STIRLING RM C,142,"Pasolli,Lisa"

